id	taxid	organism_name	infraspecific_name	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species
GCF_000010525.1	438753	Azorhizobium caulinodans ORS 571	strain=ORS 571	models/a/azorhizobium/Azorhizobium_caulinodans_ORS_571.xml.gz	438753	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Azorhizobium	s__Azorhizobium caulinodans
GCF_000007365.1	198804	Buchnera aphidicola str. Sg (Schizaphis graminum)	strain=Sg	models/b/buchnera/Buchnera_aphidicola_str_Sg_Schizaphis_graminum.xml.gz	198804	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_O
GCF_000007725.1	224915	Buchnera aphidicola str. Bp (Baizongia pistaciae)	strain=Bp (Baizongia pistaciae)	models/b/buchnera/Buchnera_aphidicola_str_Bp_Baizongia_pistaciae.xml.gz	224915	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_H
GCF_000009605.1	107806	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	strain=APS	models/b/buchnera/Buchnera_aphidicola_str_APS_Acyrthosiphon_pisum.xml.gz	107806	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_I
GCF_000090965.1	372461	Buchnera aphidicola BCc	strain=BCc	models/b/buchnera/Buchnera_aphidicola_BCc.xml.gz	372461	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_F
GCF_000217635.1	261317	Buchnera aphidicola (Cinara tujafilina)		models/b/buchnera/Buchnera_aphidicola_Cinara_tujafilina.xml.gz	261317	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_G
GCF_000225445.1	1005090	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	strain=Ak	models/b/buchnera/Buchnera_aphidicola_str_Ak_Acyrthosiphon_kondoi.xml.gz	1005090	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_A
GCF_000225465.1	1005057	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	strain=Ua	models/b/buchnera/Buchnera_aphidicola_str_Ua_Uroleucon_ambrosiae.xml.gz	1005057	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_B
GCF_000521565.1	1009858	Buchnera aphidicola str. G002 (Myzus persicae)	strain=G002	models/b/buchnera/Buchnera_aphidicola_str_G002_Myzus_persicae.xml.gz	1009858	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_C
GCF_001280225.1	1265350	Buchnera aphidicola (Aphis glycines)	strain=BAg	models/b/buchnera/Buchnera_aphidicola_Aphis_glycines_BAg.xml.gz	1265350	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Buchnera	s__Buchnera aphidicola_E
