id	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species
MGYG000000003	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000003.xml.gz	1896969	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
MGYG000000004	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000004.xml.gz	169435	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus colihominis
MGYG000000005	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000005.xml.gz	36841	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter glycolicus
MGYG000000006	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000006.xml.gz	1288	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
MGYG000000007	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000007.xml.gz	97137	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
MGYG000000008	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000008.xml.gz	33959	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
MGYG000000011	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000011.xml.gz	1288	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
MGYG000000013	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000013.xml.gz	371601	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens
MGYG000000014	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000014.xml.gz	1403941	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium butyricum
MGYG000000015	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000015.xml.gz	2518340	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
MGYG000000016	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000016.xml.gz	1262814	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	
MGYG000000017	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000017.xml.gz	1965294	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG000000018	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000018.xml.gz	33043	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
