id	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species
MGYG000000003	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000003.xml.gz	328814	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii
MGYG000000004	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000004.xml.gz	169435	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus colihominis
MGYG000000005	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000005.xml.gz	36841	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter glycolicus
MGYG000000006	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000006.xml.gz	1288	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
MGYG000000007	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000007.xml.gz	151781	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus intestinalis
MGYG000000008	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000008.xml.gz	33959	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
MGYG000000009	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000009.xml.gz	1622	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus murinus
MGYG000000013	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000013.xml.gz	371601	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens
MGYG000000014	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000014.xml.gz	1403941	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium butyricum
MGYG000000018	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000018.xml.gz	33043	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
MGYG000000019	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000019.xml.gz	2779550	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
MGYG000000020	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000020.xml.gz	28038	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus curvatus
MGYG000000022	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000022.xml.gz	853	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii
MGYG000000023	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000023.xml.gz	1318	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
MGYG000000028	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000028.xml.gz	649756	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
MGYG000000031	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000031.xml.gz	89014	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia luti
MGYG000000034	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000034.xml.gz	1987501	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Massilimaliae	Massilimaliae timonensis
MGYG000000035	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000035.xml.gz	53443	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia hydrogenotrophica
MGYG000000038	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000038.xml.gz	88431	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Dorea	Dorea longicatena
MGYG000000039	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000039.xml.gz	853	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii
MGYG000000042	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000042.xml.gz	1411144	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caecigallinarum
MGYG000000044	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000044.xml.gz	46503	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae
MGYG000000046	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000046.xml.gz	2144175	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera stantonii
MGYG000000048	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000048.xml.gz	1267	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium ventriculi
MGYG000000050	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000050.xml.gz	536633	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia glucerasea
MGYG000000052	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000052.xml.gz	154046	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Hungatella	Hungatella hathewayi
MGYG000000054	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000054.xml.gz	85831	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens
MGYG000000055	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000055.xml.gz	1796646	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum intestinale
MGYG000000061	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000061.xml.gz	74426	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG000000064	/proj/gibbons/refs/micom_databases/recipes/uhgg/models/MGYG000000064.xml.gz	1415775	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium baratii
