id	organism	seedid	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	ncbiid	platform	kbaseid	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species
Abiotrophia_defectiva_ATCC_49176	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva ATCC 49176 (592010.4)	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive	Pathogen	631	2428	1250	Eugen Bauer	07/01/14	592010.0	ModelSEED		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Abiotrophia_defectiva_ATCC_49176.xml	592010	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia	s__Abiotrophia defectiva
Achromobacter_xylosoxidans_A8	Achromobacter xylosoxidans A8	Achromobacter xylosoxidans A8 (762376.5)	Aerobe	Respiratory	Negative		1663	1668	1229			762376.0	ModelSEED	kb_g_3268_model_gf	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Achromobacter_xylosoxidans_A8.xml	762376	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans_B
Achromobacter_xylosoxidans_NBRC_15126	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061		Aerobe	Respiratory	Negative		1380	1674	1216			1216976.0	Kbase	kb|g.208127	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Achromobacter_xylosoxidans_NBRC_15126.xml	1216976	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans
Acidaminococcus_fermentans_DSM_20731	Acidaminococcus fermentans DSM 20731	Acidaminococcus fermentans DSM 20731 (591001.3)	Obligate anaerobe	Fermentative	Negative		645	1102	905	Laura Kutt	04/17/16	591001.0	Kbase	kb|g.2555	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acidaminococcus_fermentans_DSM_20731.xml	591001	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus fermentans
Acidaminococcus_intestini_RyC_MR95	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini RyC-MR95 (568816.4)	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	600	1001	828	Eugen Bauer	08/03/14	568816.0	Kbase		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acidaminococcus_intestini_RyC_MR95.xml	568816	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus intestini
Acinetobacter_baumannii_AB0057	Acinetobacter baumannii AB0057	Acinetobacter baumannii AB0057 (480119.5)	Aerobe	Respiratory	Negative		1021	1593	1181			480119.0	Kbase	kb|g.1744	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_baumannii_AB0057.xml	480119	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii
Acinetobacter_calcoaceticus_PHEA_2	Acinetobacter calcoaceticus PHEA-2	Acinetobacter calcoaceticus PHEA-2 (871585.3)	Aerobe	Respiratory	Negative		1026	1586	1164	Laura Kutt	04/18/16	871585.0	Kbase	kb|g.3519	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_calcoaceticus_PHEA_2.xml	871585	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter pittii
Acinetobacter_haemolyticus_NIPH_261	Acinetobacter haemolyticus NIPH 261	Acinetobacter haemolyticus NIPH 261 (1217986.3)	Aerobe	Respiratory	Negative		876	1382	1073	Laura Kutt	04/18/16	1217986.0	ModelSEED	kb|g.31235	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_haemolyticus_NIPH_261.xml	1217986	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter haemolyticus
Acinetobacter_johnsonii_SH046	Acinetobacter johnsonii SH046	Acinetobacter johnsonii SH046 (575586.4)	Aerobe	Asaccharolytic	Negative		863	1446	1068	Laura Kutt	04/18/16	575586.0	ModelSEED	kb|g.2448	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_johnsonii_SH046.xml	575586	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter johnsonii
Acinetobacter_junii_SH205	Acinetobacter junii SH205	Acinetobacter junii SH205 (575587.3)	Aerobe	Strictly respiratory, amino acids utilized	Negative	Opportunistic pathogen	753	1295	951	Ines Thiele	06/29/12	575587.0	ModelSEED		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_junii_SH205.xml	575587	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter junii
Acinetobacter_lwoffii_WJ10621	Acinetobacter lwoffii WJ10621	Acinetobacter lwoffii WJ10621 (1046625.3)	Aerobe	Respiratory	Negative		798	1356	1024	Laura Kutt	04/18/16	1046625.0	ModelSEED	kb|g.23426	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_lwoffii_WJ10621.xml	1046625	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter johnsonii
Acinetobacter_radioresistens_NIPH_2130	Acinetobacter radioresistens NIPH 2130	Acinetobacter radioresistens NIPH 2130 (1217674.3)	Aerobe	Asaccharolytic	Negative		857	1425	1076	Laura Kutt	04/18/16	1217674.0	Kbase	kb|g.31202	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_radioresistens_NIPH_2130.xml	1217674	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter radioresistens
Actinobacillus_pleuropneumoniae_L20	Actinobacillus pleuropneumoniae L20	Actinobacillus pleuropneumoniae L20 (416269.5)	Facultative anaerobe	Saccharolytic, fermentative	Negative		772	1403	1027	Laura Kutt	06/02/16	416269.0	Kbase	kb|g.1403	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinobacillus_pleuropneumoniae_L20.xml	416269	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Actinobacillus	s__Actinobacillus lignieresii
Actinomyces_cardiffensis_F0333	Actinomyces cardiffensis F0333	Actinomyces cardiffensis F0333 (888050.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	580	1065	850	chenry	04/15/16	888050.0	Kbase	kb|g.32379	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_cardiffensis_F0333.xml	888050	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia cardiffensis
Actinomyces_georgiae_DSM_6843	Actinomyces georgiae  DSM 6843		Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	536	1068	860	chenry	04/15/16	1120942.0	Kbase	kb|g.207006	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_georgiae_DSM_6843.xml	1120942	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia georgiae
Actinomyces_graevenitzii_C83	Actinomyces graevenitzii  C83	Actinomyces graevenitzii C83 (435830.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	529	1032	868	chenry	04/15/16	435830.0	Kbase	kb|g.26676	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_graevenitzii_C83.xml	435830	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces graevenitzii
Actinomyces_naeslundii_str_Howell_279	Actinomyces naeslundii str. Howell 279		Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	668	1203	959	chenry	04/15/16	1115803.0	Kbase	kb|g.24325	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_naeslundii_str_Howell_279.xml	1115803	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces naeslundii
Actinomyces_odontolyticus_ATCC_17982	Actinomyces odontolyticus ATCC 17982	Actinomyces odontolyticus ATCC 17982 (411466.7)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	577	1741	1079	Ines Thiele	06/29/12	411466.0	Kbase		/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_odontolyticus_ATCC_17982.xml	411466	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia odontolytica_A
Actinomyces_oris_K20	Actinomyces oris K20		Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	534	1148	927	chenry	04/15/16	871541.0	ModelSEED	kb|g.27961	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_oris_K20.xml	871541	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces oris_A
