id,Genome_type,Length,N_contigs,N50,GC_content,Completeness,Contamination,rRNA_5S,rRNA_16S,rRNA_23S,tRNAs,Genome_accession,Species_rep,lineage,url,assembly
MGYG000000001,Isolate,3221717,129,47870,28.24,98.59,0.7,88.24,99.74,99.83,20,GUT_GENOME000001,MGYG000000001,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp902362365,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000001/genome/MGYG000000001.fna,MGYG000000001.fna.gz
MGYG000000002,Isolate,4441003,71,210803,42.53,99.37,0,82.35,95.37,86.19,19,GUT_GENOME000004,MGYG000000002,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000002/genome/MGYG000000002.fna,MGYG000000002.fna.gz
MGYG000000003,Isolate,3234232,18,557292,58.43,100,0,94.96,99.67,99.66,20,GUT_GENOME000008,MGYG000000003,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000003/genome/MGYG000000003.fna,MGYG000000003.fna.gz
MGYG000000004,Isolate,3707250,71,173568,54.07,98.66,0.22,93.28,99.67,99.83,20,GUT_GENOME000010,MGYG000000004,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000004/genome/MGYG000000004.fna,MGYG000000004.fna.gz
MGYG000000005,Isolate,3932530,22,584818,28.57,99.3,0,89.08,99.67,99.83,20,GUT_GENOME000017,MGYG000000005,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus_A,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000005/genome/MGYG000000005.fna,MGYG000000005.fna.gz
MGYG000000006,Isolate,2823639,31,121380,32.64,99.26,1.39,94.96,99.74,99.76,20,GUT_GENOME000020,MGYG000000006,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000006/genome/MGYG000000006.fna,MGYG000000006.fna.gz
MGYG000000007,Isolate,2017471,17,266288,35.49,98.94,0,94.12,99.67,99.83,20,GUT_GENOME000021,MGYG000000007,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000007/genome/MGYG000000007.fna,MGYG000000007.fna.gz
MGYG000000008,Isolate,1972012,39,93501,34.34,99.22,0.78,94.96,99.67,99.76,20,GUT_GENOME000022,MGYG000000008,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000008/genome/MGYG000000008.fna,MGYG000000008.fna.gz
MGYG000000009,Isolate,2221226,144,33382,39.77,99.21,0,94.12,80.82,98.29,20,GUT_GENOME000024,MGYG000000009,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000009/genome/MGYG000000009.fna,MGYG000000009.fna.gz
MGYG000000010,Isolate,2726916,55,74967,31.82,99.45,1.66,95.8,99.74,99.76,20,GUT_GENOME000029,MGYG000000010,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A lentus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000000/MGYG000000010/genome/MGYG000000010.fna,MGYG000000010.fna.gz
